Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KOTAKNIFTY,EQ,26-May-2022,169.97,171,171.4,168.35,171.37,171.02,170.16,41594,"70,77,450.11",497,19515,46.92
KOTAKNIFTY,EQ,27-May-2022,171.02,170.41,174.49,170.41,172.95,172.54,172.58,19106,"32,97,290.86",310,11201,58.63
KOTAKNIFTY,EQ,30-May-2022,172.54,172.8,175.7,172.8,175.02,175.15,174.63,"1,11,370","1,94,48,711.45",866,89692,80.54
KOTAKNIFTY,EQ,31-May-2022,175.15,176.89,176.89,174.28,175.39,175.11,175.08,46958,"82,21,328.97",411,6829,14.54
KOTAKNIFTY,EQ,01-Jun-2022,175.11,177.18,177.18,173.9,174.94,174.85,175.27,72766,"1,27,53,661.53",396,65544,90.08
KOTAKNIFTY,EQ,02-Jun-2022,174.85,171.35,175.88,171.35,175.4,175.42,175.04,8231,"14,40,792.54",261,5539,67.29
KOTAKNIFTY,EQ,03-Jun-2022,175.42,177.95,178.25,175.02,176,175.46,176.6,31338,"55,34,402.74",504,16814,53.65
KOTAKNIFTY,EQ,06-Jun-2022,175.46,177.9,179.01,174.01,175.76,175.63,174.96,17465,"30,55,656.94",558,8026,45.95
KOTAKNIFTY,EQ,07-Jun-2022,175.63,178.5,178.5,173.31,174.15,174.4,174.07,19752,"34,38,301.95",445,13764,69.68
KOTAKNIFTY,EQ,08-Jun-2022,174.4,179.7,179.7,173.1,173.17,173.23,174.14,28822,"50,19,144.28",400,21294,73.88
KOTAKNIFTY,EQ,09-Jun-2022,173.23,188.8,188.8,172.51,174.17,174.32,173.51,7037,"12,20,960.94",327,3624,51.5
KOTAKNIFTY,EQ,10-Jun-2022,174.32,174.29,174.29,172,172.29,172.35,172.88,33593,"58,07,461.32",511,31628,94.15
KOTAKNIFTY,EQ,13-Jun-2022,172.35,171,171.28,167,169.5,168.52,168.28,"1,22,864","2,06,75,040.68",1405,"1,00,125",81.49
KOTAKNIFTY,EQ,14-Jun-2022,168.52,169.78,169.78,167,167.52,167.49,168.1,77589,"1,30,42,664.94",542,50651,65.28
KOTAKNIFTY,EQ,15-Jun-2022,167.49,165,169.48,165,167.35,167.44,167.54,16359,"27,40,837.94",378,11968,73.16
KOTAKNIFTY,EQ,16-Jun-2022,167.44,169.98,169.98,163.01,163.5,163.63,165.25,"6,95,853","11,49,91,158.74",2333,"6,67,510",95.93
KOTAKNIFTY,EQ,17-Jun-2022,163.63,163,164.3,161.63,163.84,163.4,162.94,60465,"98,52,218.61",773,34314,56.75
KOTAKNIFTY,EQ,20-Jun-2022,163.4,164.4,164.98,162.09,163.25,163.63,163.16,31729,"51,76,903.89",536,25250,79.58
KOTAKNIFTY,EQ,21-Jun-2022,163.63,165,167.1,163.85,166.53,166.44,166.08,12668,"21,03,912.31",386,10288,81.21
KOTAKNIFTY,EQ,22-Jun-2022,166.44,166.53,166.53,163.81,164.34,164.36,164.39,37887,"62,28,240.43",405,32205,85
KOTAKNIFTY,EQ,23-Jun-2022,164.36,164.35,166.23,163,165.5,165.27,164.77,31755,"52,32,360.61",469,20251,63.77
KOTAKNIFTY,EQ,24-Jun-2022,165.27,164.55,167.3,164.55,167,166.94,166.32,23295,"38,74,524.99",292,14808,63.57
