"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KOTAKNIFTY","EQ","26-May-2022","169.97","171.00","171.40","168.35","171.37","171.02","170.16","41,594","70,77,450.11","497","19,515","46.92"
"KOTAKNIFTY","EQ","27-May-2022","171.02","170.41","174.49","170.41","172.95","172.54","172.58","19,106","32,97,290.86","310","11,201","58.63"
"KOTAKNIFTY","EQ","30-May-2022","172.54","172.80","175.70","172.80","175.02","175.15","174.63","1,11,370","1,94,48,711.45","866","89,692","80.54"
"KOTAKNIFTY","EQ","31-May-2022","175.15","176.89","176.89","174.28","175.39","175.11","175.08","46,958","82,21,328.97","411","6,829","14.54"
"KOTAKNIFTY","EQ","01-Jun-2022","175.11","177.18","177.18","173.90","174.94","174.85","175.27","72,766","1,27,53,661.53","396","65,544","90.08"
"KOTAKNIFTY","EQ","02-Jun-2022","174.85","171.35","175.88","171.35","175.40","175.42","175.04","8,231","14,40,792.54","261","5,539","67.29"
"KOTAKNIFTY","EQ","03-Jun-2022","175.42","177.95","178.25","175.02","176.00","175.46","176.60","31,338","55,34,402.74","504","16,814","53.65"
"KOTAKNIFTY","EQ","06-Jun-2022","175.46","177.90","179.01","174.01","175.76","175.63","174.96","17,465","30,55,656.94","558","8,026","45.95"
"KOTAKNIFTY","EQ","07-Jun-2022","175.63","178.50","178.50","173.31","174.15","174.40","174.07","19,752","34,38,301.95","445","13,764","69.68"
"KOTAKNIFTY","EQ","08-Jun-2022","174.40","179.70","179.70","173.10","173.17","173.23","174.14","28,822","50,19,144.28","400","21,294","73.88"
"KOTAKNIFTY","EQ","09-Jun-2022","173.23","188.80","188.80","172.51","174.17","174.32","173.51","7,037","12,20,960.94","327","3,624","51.50"
"KOTAKNIFTY","EQ","10-Jun-2022","174.32","174.29","174.29","172.00","172.29","172.35","172.88","33,593","58,07,461.32","511","31,628","94.15"
"KOTAKNIFTY","EQ","13-Jun-2022","172.35","171.00","171.28","167.00","169.50","168.52","168.28","1,22,864","2,06,75,040.68","1,405","1,00,125","81.49"
"KOTAKNIFTY","EQ","14-Jun-2022","168.52","169.78","169.78","167.00","167.52","167.49","168.10","77,589","1,30,42,664.94","542","50,651","65.28"
"KOTAKNIFTY","EQ","15-Jun-2022","167.49","165.00","169.48","165.00","167.35","167.44","167.54","16,359","27,40,837.94","378","11,968","73.16"
"KOTAKNIFTY","EQ","16-Jun-2022","167.44","169.98","169.98","163.01","163.50","163.63","165.25","6,95,853","11,49,91,158.74","2,333","6,67,510","95.93"
"KOTAKNIFTY","EQ","17-Jun-2022","163.63","163.00","164.30","161.63","163.84","163.40","162.94","60,465","98,52,218.61","773","34,314","56.75"
"KOTAKNIFTY","EQ","20-Jun-2022","163.40","164.40","164.98","162.09","163.25","163.63","163.16","31,729","51,76,903.89","536","25,250","79.58"
"KOTAKNIFTY","EQ","21-Jun-2022","163.63","165.00","167.10","163.85","166.53","166.44","166.08","12,668","21,03,912.31","386","10,288","81.21"
"KOTAKNIFTY","EQ","22-Jun-2022","166.44","166.53","166.53","163.81","164.34","164.36","164.39","37,887","62,28,240.43","405","32,205","85.00"
"KOTAKNIFTY","EQ","23-Jun-2022","164.36","164.35","166.23","163.00","165.50","165.27","164.77","31,755","52,32,360.61","469","20,251","63.77"
"KOTAKNIFTY","EQ","24-Jun-2022","165.27","164.55","167.30","164.55","167.00","166.94","166.32","23,295","38,74,524.99","292","14,808","63.57"
"KOTAKNIFTY","EQ","27-Jun-2022","166.94","169.60","169.60","167.01","168.00","168.11","168.48","20,272","34,15,453.54","424","11,198","55.24"
"KOTAKNIFTY","EQ","28-Jun-2022","168.11","167.70","168.55","167.00","168.55","167.87","167.72","28,396","47,62,481.31","280","12,445","43.83"
"KOTAKNIFTY","EQ","29-Jun-2022","167.87","167.79","168.20","166.11","167.71","167.51","167.14","18,879","31,55,480.47","312","10,507","55.65"
"KOTAKNIFTY","EQ","30-Jun-2022","167.51","166.95","170.00","166.95","167.40","167.54","167.75","24,840","41,66,917.03","314","20,355","81.94"
"KOTAKNIFTY","EQ","01-Jul-2022","167.54","168.60","168.60","165.05","168.05","168.00","166.40","25,963","43,20,177.10","503","20,100","77.42"
"KOTAKNIFTY","EQ","04-Jul-2022","168.00","183.10","183.10","165.00","168.45","168.16","167.23","31,165","52,11,759.91","453","7,207","23.13"
"KOTAKNIFTY","EQ","05-Jul-2022","168.16","168.52","170.20","167.71","168.03","168.07","169.22","38,182","64,61,069.40","456","20,795","54.46"
"KOTAKNIFTY","EQ","06-Jul-2022","168.07","172.90","172.90","167.65","169.67","169.65","168.77","22,904","38,65,619.00","357","8,435","36.83"
"KOTAKNIFTY","EQ","07-Jul-2022","169.65","170.68","171.62","169.82","171.34","171.26","170.40","1,55,110","2,64,29,971.41","470","14,916","9.62"
"KOTAKNIFTY","EQ","08-Jul-2022","171.26","196.90","196.90","171.00","172.01","171.85","171.81","14,926","25,64,465.20","277","7,966","53.37"
"KOTAKNIFTY","EQ","11-Jul-2022","171.85","171.00","172.20","168.45","171.99","171.66","171.26","36,731","62,90,728.62","456","16,809","45.76"
"KOTAKNIFTY","EQ","12-Jul-2022","171.66","171.30","171.61","170.00","170.56","170.64","171.01","17,477","29,88,688.67","315","13,750","78.67"
"KOTAKNIFTY","EQ","13-Jul-2022","170.64","170.95","171.25","169.35","170.07","169.90","170.39","7,142","12,16,933.91","249","4,181","58.54"
"KOTAKNIFTY","EQ","14-Jul-2022","169.90","170.17","170.89","168.60","169.00","169.15","169.38","27,840","47,15,516.82","382","11,252","40.42"
"KOTAKNIFTY","EQ","15-Jul-2022","169.15","168.95","171.00","168.95","170.79","170.42","169.78","15,747","26,73,447.34","348","8,690","55.19"
"KOTAKNIFTY","EQ","18-Jul-2022","170.42","172.00","173.31","171.17","173.30","173.19","172.43","83,619","1,44,18,359.02","600","67,652","80.91"
"KOTAKNIFTY","EQ","19-Jul-2022","173.19","173.30","175.00","171.66","173.60","173.57","173.03","16,170","27,97,966.20","242","11,393","70.46"
"KOTAKNIFTY","EQ","20-Jul-2022","173.57","174.95","176.44","174.65","174.70","174.84","175.21","35,492","62,18,527.28","343","30,951","87.21"
"KOTAKNIFTY","EQ","21-Jul-2022","174.84","175.75","177.90","173.71","176.25","175.96","175.81","51,955","91,34,083.32","365","47,622","91.66"
"KOTAKNIFTY","EQ","22-Jul-2022","175.96","176.50","177.50","176.22","177.15","177.12","176.99","70,918","1,25,51,696.46","421","54,257","76.51"
"KOTAKNIFTY","EQ","25-Jul-2022","177.12","177.12","177.80","175.00","175.86","176.26","176.37","79,161","1,39,61,691.66","448","35,707","45.11"
"KOTAKNIFTY","EQ","26-Jul-2022","176.26","176.25","176.36","174.75","175.64","175.62","175.91","59,159","1,04,06,687.30","361","54,835","92.69"
"KOTAKNIFTY","EQ","27-Jul-2022","175.62","175.56","176.65","174.61","176.35","176.31","175.60","12,143","21,32,337.01","276","6,075","50.03"
"KOTAKNIFTY","EQ","28-Jul-2022","176.31","177.90","180.56","177.34","179.56","179.68","179.51","84,466","1,51,62,438.67","1,037","57,903","68.55"
"KOTAKNIFTY","EQ","29-Jul-2022","179.68","179.59","182.50","179.59","181.42","181.77","181.41","81,455","1,47,76,566.37","534","20,565","25.25"
"KOTAKNIFTY","EQ","01-Aug-2022","181.77","182.70","183.80","180.68","183.79","183.67","182.88","29,884","54,65,284.05","512","18,049","60.40"
"KOTAKNIFTY","EQ","02-Aug-2022","183.67","184.95","188.85","182.01","183.91","183.87","183.44","73,641","1,35,08,556.81","485","55,303","75.10"
"KOTAKNIFTY","EQ","03-Aug-2022","183.87","184.95","184.95","182.50","184.50","183.92","183.44","33,912","62,20,980.03","453","22,324","65.83"
"KOTAKNIFTY","EQ","04-Aug-2022","183.92","184.52","185.00","181.74","184.31","183.82","184.09","1,18,534","2,18,21,054.29","484","69,648","58.76"
"KOTAKNIFTY","EQ","05-Aug-2022","183.82","183.82","185.00","183.73","184.00","184.23","184.46","31,404","57,92,629.27","363","23,999","76.42"
"KOTAKNIFTY","EQ","08-Aug-2022","184.23","184.85","185.99","183.09","185.46","185.54","185.18","72,335","1,33,94,892.08","477","48,015","66.38"
"KOTAKNIFTY","EQ","10-Aug-2022","185.54","183.58","187.68","183.58","185.94","185.73","185.81","44,122","81,98,139.55","454","35,900","81.37"
"KOTAKNIFTY","EQ","11-Aug-2022","185.73","187.09","188.25","186.25","187.60","187.53","187.64","69,531","1,30,46,723.10","465","41,304","59.40"
"KOTAKNIFTY","EQ","12-Aug-2022","187.53","187.53","189.63","185.65","187.50","187.15","187.22","35,532","66,52,324.59","303","19,509","54.91"
"KOTAKNIFTY","EQ","16-Aug-2022","187.15","187.15","190.90","187.15","189.30","189.25","189.33","59,346","1,12,36,009.21","667","31,723","53.45"
"KOTAKNIFTY","EQ","17-Aug-2022","189.25","189.19","190.60","189.19","190.25","190.46","190.12","68,642","1,30,50,480.35","404","58,297","84.93"
"KOTAKNIFTY","EQ","18-Aug-2022","190.46","190.90","190.98","189.38","190.70","190.59","190.13","25,056","47,63,861.84","465","15,820","63.14"
"KOTAKNIFTY","EQ","19-Aug-2022","190.59","189.05","191.30","187.67","188.11","188.50","188.08","18,28,142","34,38,38,692.00","1,455","17,03,727","93.19"
"KOTAKNIFTY","EQ","22-Aug-2022","188.50","189.45","189.45","185.50","185.96","185.91","186.45","10,87,695","20,28,00,190.31","1,181","9,98,376","91.79"
"KOTAKNIFTY","EQ","23-Aug-2022","185.91","185.96","187.42","184.52","186.88","186.72","186.56","1,96,835","3,67,21,345.13","454","1,77,836","90.35"
"KOTAKNIFTY","EQ","24-Aug-2022","186.72","185.20","187.85","184.73","187.29","187.04","186.91","16,032","29,96,465.28","330","10,156","63.35"
"KOTAKNIFTY","EQ","25-Aug-2022","187.04","188.00","189.20","186.00","186.00","186.85","188.09","12,788","24,05,348.50","368","8,618","67.39"
"KOTAKNIFTY","EQ","26-Aug-2022","186.85","187.20","188.42","186.61","187.50","187.28","187.70","10,366","19,45,748.11","264","7,862","75.84"
"KOTAKNIFTY","EQ","29-Aug-2022","187.28","185.00","186.00","183.20","184.85","184.72","184.28","38,977","71,82,583.86","674","28,532","73.20"
"KOTAKNIFTY","EQ","30-Aug-2022","184.72","185.00","190.50","185.00","189.98","190.05","189.90","4,70,392","8,93,27,142.89","548","2,58,278","54.91"
"KOTAKNIFTY","EQ","01-Sep-2022","190.05","188.80","189.69","185.00","186.98","186.63","186.07","2,63,589","4,90,46,465.18","936","1,53,205","58.12"
"KOTAKNIFTY","EQ","02-Sep-2022","186.63","187.89","188.20","186.00","186.71","186.66","186.78","17,302","32,31,673.32","317","11,767","68.01"
"KOTAKNIFTY","EQ","05-Sep-2022","186.66","187.20","187.99","186.71","187.97","187.90","187.50","17,250","32,34,351.58","361","10,185","59.04"
"KOTAKNIFTY","EQ","06-Sep-2022","187.90","188.30","188.77","186.91","187.96","187.92","187.81","2,47,259","4,64,38,821.30","436","2,07,558","83.94"
"KOTAKNIFTY","EQ","07-Sep-2022","187.92","186.99","187.89","186.50","187.35","187.43","187.13","49,646","92,90,191.51","289","43,284","87.19"
"KOTAKNIFTY","EQ","08-Sep-2022","187.43","192.91","192.91","187.46","188.89","189.30","188.98","36,593","69,15,208.65","327","23,853","65.18"
"KOTAKNIFTY","EQ","09-Sep-2022","189.30","193.80","193.80","188.99","189.78","189.69","189.89","17,634","33,48,573.51","388","12,835","72.79"
"KOTAKNIFTY","EQ","12-Sep-2022","189.69","190.89","191.25","189.72","190.85","190.82","190.84","17,146","32,72,078.67","459","13,861","80.84"
"KOTAKNIFTY","EQ","13-Sep-2022","190.82","190.86","192.20","190.86","192.12","192.00","191.65","40,357","77,34,321.89","388","32,539","80.63"
"KOTAKNIFTY","EQ","14-Sep-2022","192.00","190.49","192.30","189.69","190.85","191.15","190.76","53,681","1,02,40,294.59","572","26,787","49.90"
"KOTAKNIFTY","EQ","15-Sep-2022","191.15","193.90","193.90","190.11","190.45","190.42","190.89","18,029","34,41,608.30","450","12,621","70.00"
"KOTAKNIFTY","EQ","16-Sep-2022","190.42","190.00","190.50","186.75","187.39","187.10","188.13","79,772","1,50,07,129.29","852","33,955","42.57"
"KOTAKNIFTY","EQ","19-Sep-2022","187.10","187.39","188.31","186.00","188.19","187.83","187.50","23,098","43,30,849.73","562","14,458","62.59"
"KOTAKNIFTY","EQ","20-Sep-2022","187.83","190.99","192.00","188.77","189.35","189.62","190.20","29,351","55,82,523.09","424","15,990","54.48"
"KOTAKNIFTY","EQ","21-Sep-2022","189.62","187.51","190.02","187.51","188.63","188.88","189.11","22,918","43,34,111.02","305","13,990","61.04"
"KOTAKNIFTY","EQ","22-Sep-2022","188.88","187.79","189.00","187.13","188.28","188.17","187.88","15,952","29,97,052.74","420","11,141","69.84"
"KOTAKNIFTY","EQ","23-Sep-2022","188.17","188.17","188.17","184.00","184.66","184.73","185.58","78,802","1,46,24,327.40","1,026","55,333","70.22"
"KOTAKNIFTY","EQ","26-Sep-2022","184.73","184.66","184.66","181.41","182.00","181.96","182.30","82,317","1,50,06,106.61","1,048","54,165","65.80"
"KOTAKNIFTY","EQ","27-Sep-2022","181.96","185.59","185.59","181.02","182.00","181.75","181.80","1,57,370","2,86,09,108.12","708","1,47,994","94.04"
"KOTAKNIFTY","EQ","28-Sep-2022","181.75","181.64","182.30","179.65","179.65","180.11","180.67","45,657","82,48,881.54","652","35,132","76.95"
"KOTAKNIFTY","EQ","29-Sep-2022","180.11","185.60","195.39","179.05","179.07","181.20","181.33","55,894","1,01,35,047.87","848","25,883","46.31"
"KOTAKNIFTY","EQ","30-Sep-2022","181.20","181.60","183.41","178.80","182.56","182.47","179.83","1,24,049","2,23,07,258.30","680","87,703","70.70"
"KOTAKNIFTY","EQ","03-Oct-2022","182.47","186.00","193.40","179.71","180.35","180.35","180.77","97,312","1,75,91,427.39","698","28,342","29.12"
"KOTAKNIFTY","EQ","04-Oct-2022","180.35","184.90","184.90","182.14","183.43","183.34","183.31","42,786","78,43,142.23","486","34,573","80.80"
"KOTAKNIFTY","EQ","06-Oct-2022","183.34","187.79","187.79","183.40","184.46","184.11","184.55","18,643","34,40,533.21","438","13,955","74.85"
"KOTAKNIFTY","EQ","07-Oct-2022","184.11","183.57","184.75","183.34","183.66","183.92","183.75","26,163","48,07,499.46","308","21,219","81.10"
"KOTAKNIFTY","EQ","10-Oct-2022","183.92","183.09","184.08","181.60","183.60","183.65","182.80","18,965","34,66,789.83","574","11,544","60.87"
"KOTAKNIFTY","EQ","11-Oct-2022","183.65","183.65","183.65","181.06","181.52","181.42","181.94","55,307","1,00,62,541.62","499","44,334","80.16"
"KOTAKNIFTY","EQ","12-Oct-2022","181.42","192.30","192.30","180.59","181.87","182.03","181.35","75,781","1,37,42,587.95","501","32,064","42.31"
"KOTAKNIFTY","EQ","13-Oct-2022","182.03","182.03","182.45","180.25","181.00","181.61","181.26","39,871","72,26,886.71","541","30,474","76.43"
"KOTAKNIFTY","EQ","14-Oct-2022","181.61","183.01","184.94","182.75","183.35","183.09","183.84","53,893","99,07,910.12","399","35,435","65.75"
"KOTAKNIFTY","EQ","17-Oct-2022","183.09","183.84","184.51","182.21","184.35","183.81","183.77","48,131","88,45,029.38","546","17,636","36.64"
"KOTAKNIFTY","EQ","18-Oct-2022","183.81","187.00","194.18","184.13","186.80","186.46","186.52","1,26,765","2,36,43,980.30","475","1,04,214","82.21"
"KOTAKNIFTY","EQ","19-Oct-2022","186.46","193.69","193.69","186.10","186.70","186.30","186.70","12,078","22,54,992.70","268","8,469","70.12"
"KOTAKNIFTY","EQ","20-Oct-2022","186.30","186.45","187.00","185.29","186.51","186.72","186.30","12,046","22,44,145.44","337","6,817","56.59"
"KOTAKNIFTY","EQ","21-Oct-2022","186.72","187.69","188.21","186.83","186.83","187.28","187.49","53,998","1,01,24,200.29","438","29,784","55.16"
"KOTAKNIFTY","EQ","24-Oct-2022","187.28","194.18","194.18","187.28","189.75","189.10","189.47","15,473","29,31,706.56","443","12,717","82.19"
"KOTAKNIFTY","EQ","25-Oct-2022","189.10","189.50","189.95","187.86","189.07","188.95","188.93","30,036","56,74,808.48","491","24,135","80.35"
"KOTAKNIFTY","EQ","27-Oct-2022","188.95","189.56","189.89","188.50","188.79","188.81","189.05","19,773","37,38,011.08","364","12,653","63.99"
"KOTAKNIFTY","EQ","28-Oct-2022","188.81","194.18","194.18","188.51","189.49","189.13","189.22","29,529","55,87,370.31","364","21,234","71.91"
"KOTAKNIFTY","EQ","31-Oct-2022","189.13","192.48","192.48","190.02","191.22","191.31","190.89","85,723","1,63,63,368.33","528","63,108","73.62"
"KOTAKNIFTY","EQ","01-Nov-2022","191.31","191.99","193.39","191.73","192.94","193.03","192.61","1,53,555","2,95,76,349.32","612","1,16,319","75.75"
"KOTAKNIFTY","EQ","02-Nov-2022","193.03","193.03","193.29","191.96","191.96","192.34","192.57","14,493","27,90,971.21","323","9,841","67.90"
"KOTAKNIFTY","EQ","03-Nov-2022","192.34","192.34","192.69","191.51","192.36","192.25","191.97","11,847","22,74,326.51","307","5,652","47.71"
"KOTAKNIFTY","EQ","04-Nov-2022","192.25","192.26","192.99","191.71","192.70","192.51","192.05","25,538","49,04,488.94","274","19,201","75.19"
"KOTAKNIFTY","EQ","07-Nov-2022","192.51","192.51","193.97","192.36","193.92","193.69","193.31","64,505","1,24,69,777.34","443","44,320","68.71"
"KOTAKNIFTY","EQ","09-Nov-2022","193.69","194.67","212.10","192.99","193.01","193.23","193.71","34,251","66,34,929.55","461","23,076","67.37"
"KOTAKNIFTY","EQ","10-Nov-2022","193.23","210.60","210.60","191.41","191.92","191.87","191.83","28,630","54,92,027.67","487","20,801","72.65"
"KOTAKNIFTY","EQ","11-Nov-2022","191.87","193.11","195.34","193.11","195.20","195.25","194.91","26,294","51,24,943.89","381","21,468","81.65"
"KOTAKNIFTY","EQ","14-Nov-2022","195.25","212.80","212.80","194.91","194.92","195.07","195.32","38,659","75,50,802.80","406","35,243","91.16"
"KOTAKNIFTY","EQ","15-Nov-2022","195.07","195.49","196.00","194.57","196.00","195.71","194.93","51,222","99,84,917.64","451","32,363","63.18"
"KOTAKNIFTY","EQ","16-Nov-2022","195.71","195.72","196.55","195.11","196.00","195.97","195.81","30,977","60,65,611.84","302","19,661","63.47"
"KOTAKNIFTY","EQ","17-Nov-2022","195.97","195.80","196.13","194.80","194.80","195.30","195.78","18,255","35,74,049.21","339","15,082","82.62"
"KOTAKNIFTY","EQ","18-Nov-2022","195.30","196.99","196.99","193.91","194.68","194.67","194.64","14,372","27,97,377.98","309","9,696","67.46"
"KOTAKNIFTY","EQ","21-Nov-2022","194.67","212.20","212.20","193.00","193.80","193.35","193.43","19,449","37,61,930.21","393","13,887","71.40"
"KOTAKNIFTY","EQ","22-Nov-2022","193.35","194.94","194.94","193.27","194.30","194.16","193.88","6,592","12,78,033.03","199","4,152","62.99"
"KOTAKNIFTY","EQ","23-Nov-2022","194.16","194.51","195.08","194.20","194.35","194.34","194.47","12,359","24,03,497.84","210","7,046","57.01"
"KOTAKNIFTY","EQ","24-Nov-2022","194.34","204.27","204.27","194.61","197.00","196.40","196.20","42,021","82,44,452.40","316","29,849","71.03"
"KOTAKNIFTY","EQ","25-Nov-2022","196.40","196.77","197.48","196.21","197.35","196.97","196.69","46,019","90,51,346.31","449","25,904","56.29"
"KOTAKNIFTY","EQ","28-Nov-2022","196.97","195.01","198.00","195.01","197.39","197.72","197.46","37,372","73,79,427.28","456","26,079","69.78"
"KOTAKNIFTY","EQ","29-Nov-2022","197.72","198.43","198.77","197.70","198.24","198.24","198.40","19,630","38,94,681.80","345","13,730","69.94"
"KOTAKNIFTY","EQ","30-Nov-2022","198.24","198.98","200.20","198.13","200.00","199.59","198.80","85,086","1,69,14,919.11","344","41,897","49.24"
"KOTAKNIFTY","EQ","01-Dec-2022","199.59","202.99","202.99","199.76","199.99","200.10","200.24","88,974","1,78,15,858.40","397","81,848","91.99"
"KOTAKNIFTY","EQ","02-Dec-2022","200.10","202.44","202.44","198.52","199.05","198.86","199.08","23,126","46,04,037.68","363","18,767","81.15"
"KOTAKNIFTY","EQ","05-Dec-2022","198.86","198.13","199.50","181.00","199.36","198.98","198.82","38,873","77,28,915.28","518","23,143","59.53"
"KOTAKNIFTY","EQ","06-Dec-2022","198.98","199.50","199.50","197.80","198.68","198.59","198.28","12,857","25,49,274.97","285","8,834","68.71"
