Symbol  ,Date,Open,High,Low,Close,Volume
KOTAKNIFTY,26-May-2023,196.24,197.58,195.87,197.48,61706
KOTAKNIFTY,29-May-2023,197.76,199,197.76,198.38,41331
KOTAKNIFTY,30-May-2023,199.14,199.15,198.14,199,15769
KOTAKNIFTY,31-May-2023,198.96,198.96,197.62,198.31,18270
KOTAKNIFTY,01-Jun-2023,199.02,199.02,197.13,197.3,14238
KOTAKNIFTY,02-Jun-2023,198.89,198.89,197.42,197.98,12500
KOTAKNIFTY,05-Jun-2023,199.14,199.4,198.51,198.71,26864
KOTAKNIFTY,06-Jun-2023,199.3,199.3,198.08,198.79,12736
KOTAKNIFTY,07-Jun-2023,198.8,200.46,198.8,200.3,269058
KOTAKNIFTY,08-Jun-2023,200.72,201.02,199,199.25,538153
KOTAKNIFTY,09-Jun-2023,199.2,200.99,198.31,198.53,19469
KOTAKNIFTY,12-Jun-2023,200.89,200.89,198.4,198.81,15783
KOTAKNIFTY,13-Jun-2023,199.32,200.1,199.32,200.02,33539
KOTAKNIFTY,14-Jun-2023,200.02,201.5,199.76,200.36,12987
KOTAKNIFTY,15-Jun-2023,200.37,201,199.69,199.89,15687
KOTAKNIFTY,16-Jun-2023,199.99,201.74,199.99,201.18,36029
KOTAKNIFTY,19-Jun-2023,201.18,202,200.11,200.54,30337
KOTAKNIFTY,20-Jun-2023,200.45,201.73,199.58,201.56,27309
KOTAKNIFTY,21-Jun-2023,201.9,202.12,201.14,201.58,13628
KOTAKNIFTY,22-Jun-2023,202.2,202.2,200.77,200.85,21865
KOTAKNIFTY,23-Jun-2023,201.16,201.16,199.7,199.94,8916
KOTAKNIFTY,26-Jun-2023,199.94,201.75,199.67,200,9993
KOTAKNIFTY,27-Jun-2023,200,201.3,200,201.17,22738
KOTAKNIFTY,28-Jun-2023,201.17,203.09,201.15,202.44,33423
KOTAKNIFTY,30-Jun-2023,202.44,205.25,202.44,205.09,89698
KOTAKNIFTY,03-Jul-2023,207.8,211.25,205.09,206.41,51010
KOTAKNIFTY,04-Jul-2023,206.64,208.14,206.28,207.11,36843
KOTAKNIFTY,05-Jul-2023,207.11,208.2,206.9,207.13,66613
KOTAKNIFTY,06-Jul-2023,207.52,208.59,207.18,208.39,25608
KOTAKNIFTY,07-Jul-2023,208.38,208.99,206.42,206.59,750468
KOTAKNIFTY,10-Jul-2023,207.99,207.99,206.01,207.09,51927
KOTAKNIFTY,11-Jul-2023,211.23,211.23,206.55,208.01,53059
KOTAKNIFTY,12-Jul-2023,208.77,208.79,207.42,207.62,21979
KOTAKNIFTY,13-Jul-2023,208.65,209.44,207.25,207.72,28864
KOTAKNIFTY,14-Jul-2023,207.4,209.55,207.4,209.12,33930
KOTAKNIFTY,17-Jul-2023,210,211.9,209.01,210.66,45282
KOTAKNIFTY,18-Jul-2023,210.4,212.3,210.4,211.34,47275
KOTAKNIFTY,19-Jul-2023,211.01,212.3,211.01,211.92,38494
KOTAKNIFTY,20-Jul-2023,213.75,213.75,210.25,212.59,22187
KOTAKNIFTY,21-Jul-2023,212.59,212.85,211,211.9,26007
KOTAKNIFTY,24-Jul-2023,218.25,218.25,209.51,210.57,500367
KOTAKNIFTY,25-Jul-2023,212,212.06,209.88,210.24,12789
KOTAKNIFTY,26-Jul-2023,210.25,212,210.25,211.51,67185
KOTAKNIFTY,27-Jul-2023,211.51,213.45,210.1,210.42,16577
KOTAKNIFTY,28-Jul-2023,210.59,210.61,209.42,210.34,21679
KOTAKNIFTY,31-Jul-2023,212.25,212.25,208.33,211.16,10670
KOTAKNIFTY,01-Aug-2023,211.11,212.99,210.88,211.24,28522
KOTAKNIFTY,02-Aug-2023,212.9,212.9,209.13,209.71,52085
